Bearing_No,Rotational_Velocity ,Radial_Load,Axial_Load,Dynamic_Load_Rating,Satic_Load_Ratimg,Limitng_speed,Shaft_Diameter,Bearing_outside_Diameter,Bearing_Width,MIN_Deformation,MAX_Deformation,AVG_Deformation,Deformation_On_Ball_MIN,Deformation_On_Ball_MAX,Deformation_On_Ball_AVG,MIN_Stress,MAX_Stress,AVG_Stress,Stress_On_Ball_MIN,Stress_On_Ball_MAX,Stress_On_Ball_AVG,Frictional_Stress_MIN,Frictional_Stress_MAX,Frictional_Stress_AVG,MIN_Pressure,MAX_Pressure,AVG_Pressure,,,
6003,0,0,0,6000,3250,26000,17,35,10,4.36E-04,0.18995,0.10419,4.36E-04,0.18995,0.10419,1.74E-03,7.0671,0.41177,7.98E-05,0.12758,2.64E-03,0,1.3655,2.65E-02,0,17.99,0.38258,,,
6003,650,-1,1,6000,3250,26000,17,35,10,8.22E-04,0.28065,0.15517,8.22E-04,0.28065,0.15517,7.55E-03,20.765,1.3016,7.33E-04,0.63567,1.80E-02,0,3.4615,0.10072,0,34.615,1.222,,,
6003,974.35,-10.617,10,6000,3250,26000,17,35,10,1.01E-03,0.36299,0.19603,1.01E-03,0.36299,0.19603,1.65E-02,36.817,2.5348,3.92E-03,2.1485,9.60E-02,0,5.6327,0.2225,0,56.327,2.4608,,,
6003,1298.7,-20.234,13.996,6000,3250,26000,17,35,10,1.15E-03,0.37255,0.20119,1.15E-03,0.37255,0.20119,1.87E-02,38.576,2.7307,1.36E-02,4.9286,0.26986,0,6.0602,0.24195,0,60.602,2.6636,,,
6003,1623.05,-29.852,17.992,6000,3250,26000,17,35,10,1.19E-03,0.37401,0.20204,1.19E-03,0.37401,0.20204,1.87E-02,39.056,2.7628,0.15693,30.045,3.7781,0,6.1196,0.24524,0,61.196,2.6992,,,
6003,1947.4,-39.469,21.988,6000,3250,26000,17,35,10,1.26E-03,0.37975,0.20484,1.26E-03,0.37975,0.20484,1.94E-02,40.507,2.8753,0.16743,33.882,4.2044,0,6.3269,0.25685,0,63.269,2.8197,,,
6003,2271.75,-49.086,25.984,6000,3250,26000,17,35,10,1.27E-03,0.38144,0.20539,1.27E-03,0.38144,0.20539,1.90E-02,40.912,2.8961,0.15705,33.568,4.0254,0,6.3527,0.25909,0,63.527,2.843,,,650
6003,2596.1,-58.703,29.98,6000,3250,26000,17,35,10,1.25E-03,0.38185,0.20554,1.25E-03,0.38185,0.20554,1.87E-02,41.012,2.9015,0.13847,29.872,3.465,0,6.3571,0.25953,0,63.571,2.8491,,,
6003,2920.45,-68.321,33.976,6000,3250,26000,17,35,10,1.19E-03,0.38871,0.20916,1.19E-03,0.38871,0.20916,1.95E-02,43.18,3.051,0.15028,31.789,3.7854,0,6.6298,0.27485,0,66.298,3.0065,,,
6003,3244.8,-77.938,37.972,6000,3250,26000,17,35,10,1.19E-03,0.39002,0.21012,1.19E-03,0.39002,0.21012,1.91E-02,44.029,3.0903,0.15669,31.965,3.864,0,6.7235,0.27899,0,67.235,3.0495,,,
6003,3569.15,-87.555,41.968,6000,3250,26000,17,35,10,1.19E-03,0.39028,0.21036,1.19E-03,0.39028,0.21036,1.86E-02,44.525,3.1009,0.15323,30.153,3.6746,0,6.7408,0.27991,0,67.408,3.0621,,,
6003,3893.5,-97.172,45.964,6000,3250,26000,17,35,10,1.20E-03,0.39031,0.21043,1.20E-03,0.39031,0.21043,1.81E-02,44.619,3.1036,0.14227,27.232,3.3249,0,6.7462,0.27943,0,67.462,3.0654,,,
6003,4217.85,-106.79,49.96,6000,3250,26000,17,35,10,1.16E-03,0.39852,0.2153,1.16E-03,0.39852,0.2153,1.86E-02,47.687,3.3118,0.15475,29.565,3.6591,0,7.1559,0.30141,0,71.559,3.2804,,,
6003,4542.2,-116.41,53.956,6000,3250,26000,17,35,10,1.16E-03,0.40126,0.21689,1.16E-03,0.40126,0.21689,1.92E-02,48.883,3.3796,0.16003,30.626,3.7862,0,7.332,0.30769,0,73.32,3.3506,,,
6003,4866.55,-126.02,57.952,6000,3250,26000,17,35,10,1.14E-03,0.40274,0.21737,1.14E-03,0.40274,0.21737,1.90E-02,49.679,3.401,0.15304,30.32,3.6813,0,7.3819,0.30903,0,73.819,3.3731,,,
6003,5190.9,-135.64,61.948,6000,3250,26000,17,35,10,1.14E-03,0.40352,0.21757,1.14E-03,0.40352,0.21757,1.93E-02,49.905,3.408,0.14082,28.536,3.3867,0,7.3937,0.30931,0,73.937,3.381,,,
6003,5515.25,-145.26,65.944,6000,3250,26000,17,35,10,1.13E-03,0.40367,0.21754,1.13E-03,0.40367,0.21754,1.93E-02,49.995,3.4079,0.15277,30.667,3.7167,0,7.4009,0.30816,0,74.009,3.3799,,,
